lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,lean-pooled-terrain,ea_bellever_dartmoor,3059,0.1209,0.4595,0.2236,56598,31,1299.1
24,lean-pooled-terrain,ea_bovey_tracey,2953,0.09,0.4618,0.1672,56598,31,1299.1
24,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3060,0.1442,0.4161,0.2469,56598,31,1299.1
24,lean-pooled-terrain,ea_princetown,3059,0.1235,0.4242,0.2146,56598,31,1299.1
48,lean-pooled-terrain,ea_bellever_dartmoor,3056,0.1342,0.3989,0.2232,56530,31,301.4
48,lean-pooled-terrain,ea_bovey_tracey,2950,0.1072,0.3591,0.1673,56530,31,301.4
48,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3057,0.1563,0.3673,0.247,56530,31,301.4
48,lean-pooled-terrain,ea_princetown,3056,0.136,0.3666,0.2147,56530,31,301.4
72,lean-pooled-terrain,ea_bellever_dartmoor,3051,0.1566,0.2966,0.2226,56463,31,314.6
72,lean-pooled-terrain,ea_bovey_tracey,2946,0.1234,0.2622,0.1673,56463,31,314.6
72,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3053,0.1797,0.2723,0.2469,56463,31,314.6
72,lean-pooled-terrain,ea_princetown,3052,0.1612,0.2499,0.215,56463,31,314.6
24,rich-pooled-terrain,ea_bellever_dartmoor,3059,0.1169,0.4773,0.2236,56598,65,283.1
24,rich-pooled-terrain,ea_bovey_tracey,2953,0.0876,0.4759,0.1672,56598,65,283.1
24,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3060,0.1411,0.4284,0.2469,56598,65,283.1
24,rich-pooled-terrain,ea_princetown,3059,0.1218,0.4325,0.2146,56598,65,283.1
48,rich-pooled-terrain,ea_bellever_dartmoor,3056,0.1313,0.4115,0.2232,56530,65,482.5
48,rich-pooled-terrain,ea_bovey_tracey,2950,0.1064,0.3639,0.1673,56530,65,482.5
48,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3057,0.154,0.3766,0.247,56530,65,482.5
48,rich-pooled-terrain,ea_princetown,3056,0.1363,0.3652,0.2147,56530,65,482.5
72,rich-pooled-terrain,ea_bellever_dartmoor,3051,0.1537,0.3096,0.2226,56463,65,455.9
72,rich-pooled-terrain,ea_bovey_tracey,2946,0.1199,0.2833,0.1673,56463,65,455.9
72,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3053,0.1765,0.285,0.2469,56463,65,455.9
72,rich-pooled-terrain,ea_princetown,3052,0.1563,0.273,0.215,56463,65,455.9
