lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,lean-pooled-terrain,ea_bellever_dartmoor,3059,0.1209,0.4595,0.2236,56598,31,1299.1
24,lean-pooled-terrain,ea_bovey_tracey,2953,0.09,0.4618,0.1672,56598,31,1299.1
24,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3060,0.1442,0.4161,0.2469,56598,31,1299.1
24,lean-pooled-terrain,ea_princetown,3059,0.1235,0.4242,0.2146,56598,31,1299.1
48,lean-pooled-terrain,ea_bellever_dartmoor,3056,0.1342,0.3989,0.2232,56530,31,301.4
48,lean-pooled-terrain,ea_bovey_tracey,2950,0.1072,0.3591,0.1673,56530,31,301.4
48,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3057,0.1563,0.3673,0.247,56530,31,301.4
48,lean-pooled-terrain,ea_princetown,3056,0.136,0.3666,0.2147,56530,31,301.4
72,lean-pooled-terrain,ea_bellever_dartmoor,3051,0.1566,0.2966,0.2226,56463,31,314.6
72,lean-pooled-terrain,ea_bovey_tracey,2946,0.1234,0.2622,0.1673,56463,31,314.6
72,lean-pooled-terrain,ea_dartmoor_nr_hexworthy,3053,0.1797,0.2723,0.2469,56463,31,314.6
72,lean-pooled-terrain,ea_princetown,3052,0.1612,0.2499,0.215,56463,31,314.6
24,rich-per-station,ea_bellever_dartmoor,3059,0.1146,0.4806,0.2206,14271,65,55.3
24,rich-per-station,ea_bovey_tracey,2953,0.0873,0.4866,0.1702,13778,65,189.6
24,rich-per-station,ea_dartmoor_nr_hexworthy,3060,0.1367,0.4258,0.238,14277,65,190.7
24,rich-per-station,ea_princetown,3059,0.1182,0.4466,0.2136,14272,65,187.9
48,rich-per-station,ea_bellever_dartmoor,3056,0.1293,0.4128,0.2202,14254,65,51.6
48,rich-per-station,ea_bovey_tracey,2950,0.1026,0.3976,0.1703,13761,65,179.9
48,rich-per-station,ea_dartmoor_nr_hexworthy,3057,0.1502,0.3694,0.2382,14260,65,193.2
48,rich-per-station,ea_princetown,3056,0.1321,0.3819,0.2137,14255,65,194.1
72,rich-per-station,ea_bellever_dartmoor,3051,0.1425,0.3515,0.2197,14238,65,51.5
72,rich-per-station,ea_bovey_tracey,2946,0.1108,0.3494,0.1703,13744,65,171.5
72,rich-per-station,ea_dartmoor_nr_hexworthy,3053,0.1631,0.3147,0.238,14243,65,194.0
72,rich-per-station,ea_princetown,3052,0.1473,0.3118,0.214,14238,65,183.6
24,rich-pooled-terrain,ea_bellever_dartmoor,3059,0.1169,0.4773,0.2236,56598,65,283.1
24,rich-pooled-terrain,ea_bovey_tracey,2953,0.0876,0.4759,0.1672,56598,65,283.1
24,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3060,0.1411,0.4284,0.2469,56598,65,283.1
24,rich-pooled-terrain,ea_princetown,3059,0.1218,0.4325,0.2146,56598,65,283.1
48,rich-pooled-terrain,ea_bellever_dartmoor,3056,0.1313,0.4115,0.2232,56530,65,482.5
48,rich-pooled-terrain,ea_bovey_tracey,2950,0.1064,0.3639,0.1673,56530,65,482.5
48,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3057,0.154,0.3766,0.247,56530,65,482.5
48,rich-pooled-terrain,ea_princetown,3056,0.1363,0.3652,0.2147,56530,65,482.5
72,rich-pooled-terrain,ea_bellever_dartmoor,3051,0.1537,0.3096,0.2226,56463,65,455.9
72,rich-pooled-terrain,ea_bovey_tracey,2946,0.1199,0.2833,0.1673,56463,65,455.9
72,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3053,0.1765,0.285,0.2469,56463,65,455.9
72,rich-pooled-terrain,ea_princetown,3052,0.1563,0.273,0.215,56463,65,455.9
24,rich-pooled-terrain-v2,ea_bellever_dartmoor,3059,0.1193,0.4665,0.2236,56598,79,269.6
24,rich-pooled-terrain-v2,ea_bovey_tracey,2953,0.0879,0.4739,0.1672,56598,79,269.6
24,rich-pooled-terrain-v2,ea_dartmoor_nr_hexworthy,3060,0.1411,0.4285,0.2469,56598,79,269.6
24,rich-pooled-terrain-v2,ea_princetown,3059,0.1223,0.4301,0.2146,56598,79,269.6
48,rich-pooled-terrain-v2,ea_bellever_dartmoor,3056,0.1316,0.4103,0.2232,56530,79,273.7
48,rich-pooled-terrain-v2,ea_bovey_tracey,2950,0.1054,0.3698,0.1673,56530,79,273.7
48,rich-pooled-terrain-v2,ea_dartmoor_nr_hexworthy,3057,0.1549,0.3729,0.247,56530,79,273.7
48,rich-pooled-terrain-v2,ea_princetown,3056,0.1348,0.3721,0.2147,56530,79,273.7
72,rich-pooled-terrain-v2,ea_bellever_dartmoor,3051,0.1571,0.2943,0.2226,56463,79,271.9
72,rich-pooled-terrain-v2,ea_bovey_tracey,2946,0.1247,0.2541,0.1673,56463,79,271.9
72,rich-pooled-terrain-v2,ea_dartmoor_nr_hexworthy,3053,0.1799,0.2711,0.2469,56463,79,271.9
72,rich-pooled-terrain-v2,ea_princetown,3052,0.1601,0.2554,0.215,56463,79,271.9
